n,t_seconds,alpha,x,y,h,f_norm,step_frames
940,10.913378685,34.285390302,-0.963200872,0.268782590,1171.425238958,4.326866423,1
942,10.936598639,34.358337941,-0.980228910,0.197866833,1175.688146316,1.749907191,2
948,11.006258503,34.577180858,-0.999806716,-0.019660402,1180.657176317,0.786878509,6
950,11.029478458,34.650128497,-0.995714822,-0.092476987,1185.480426086,3.504578741,2
952,11.052698413,34.723076136,-0.986326723,-0.164801687,1190.225280282,0.708899122,2
966,11.215238095,35.233709608,-0.779962509,-0.625826242,1195.166416978,0.285328260,14
970,11.261678005,35.379604886,-0.680694776,-0.732567145,1201.596640483,3.802436820,4
972,11.284897959,35.452552525,-0.625492807,-0.780229933,1207.260982530,2.630240326,2
974,11.308117914,35.525500164,-0.566963843,-0.823742679,1210.491265011,1.295839324,2
977,11.342947846,35.634921622,-0.473617716,-0.880730526,1215.980678265,2.044137176,3
980,11.377777778,35.744343081,-0.374606593,-0.927183855,1220.109072313,1.347970978,3
983,11.412607710,35.853764539,-0.271114759,-0.962547031,1226.006601823,1.668808167,3
987,11.459047619,35.999659817,-0.128301068,-0.991735265,1230.001791562,0.306510262,4
991,11.505487528,36.145555095,0.017238725,-0.999851402,1239.816258871,5.017012691,4
992,11.517097506,36.182028914,0.053687574,-0.998557782,1240.563817286,0.747558415,1
1008,11.702857143,36.765610026,0.595023196,-0.803708527,1245.236456082,0.397835660,16
1011,11.737687075,36.875031484,0.679232199,-0.733923443,1251.888296014,3.498395861,3
1012,11.749297052,36.911505304,0.705543501,-0.708666613,1255.164889535,3.276593521,1
1016,11.795736961,37.057400582,0.801072626,-0.598567162,1260.293654552,0.593900936,4
1020,11.842176871,37.203295860,0.879580799,-0.475749533,1267.394545996,2.689693035,4
1021,11.853786848,37.239769679,0.896344349,-0.443358555,1271.648697210,4.254151214,1
1022,11.865396825,37.276243499,0.911915588,-0.410377826,1276.085503257,4.436806047,1
1027,11.923446712,37.458612596,0.971219181,-0.238187534,1281.549613277,2.021223026,5
1031,11.969886621,37.604507874,0.995528381,-0.094462916,1285.655479711,1.820883532,4
1033,11.993106576,37.677455513,0.999765511,-0.021654638,1290.247847778,1.938837640,2
1043,12.109206349,38.042193707,0.941722428,0.336390946,1295.316209357,0.365337150,10
1051,12.202086168,38.333984263,0.805147367,0.593074799,1300.934969252,1.370681295,8
1054,12.236916100,38.443405722,0.735566450,0.677452580,1305.549477385,0.892981084,3
1058,12.283356009,38.589301000,0.629265027,0.777190791,1310.210326046,1.476408304,4
1062,12.329795918,38.735196277,0.509593168,0.860415483,1315.490956498,1.605057602,4
1064,12.353015873,38.808143916,0.445528279,0.895267866,1320.842503147,2.815886783,2
1069,12.411065760,38.990513014,0.275774310,0.961222415,1326.560795331,2.259298657,5
1070,12.422675737,39.026986833,0.240539213,0.970639422,1330.972726925,4.411931594,1
1077,12.503945578,39.282303569,-0.012395082,0.999923178,1335.696639546,0.831588793,7
1089,12.643265306,39.719989403,-0.435038679,0.900411766,1341.908412352,2.863549139,12
1090,12.654875283,39.756463223,-0.467583511,0.883948901,1346.543118500,4.634706148,1
1092,12.678095238,39.829410862,-0.530764785,0.847519170,1352.542783860,2.607813364,2
1094,12.701315193,39.902358500,-0.591122922,0.806581485,1355.560690233,1.363224065,2
1098,12.747755102,40.048253778,-0.702102328,0.712076064,1361.196736770,2.117525606,4
1100,12.770975057,40.121201417,-0.752133298,0.659011003,1367.230116076,3.163711573,2
1102,12.794195011,40.194149056,-0.798163672,0.602440663,1370.158259300,0.873190137,2
1109,12.875464853,40.449465793,-0.924437409,0.381333812,1376.909892534,2.883029751,7
1110,12.887074830,40.485939612,-0.937728187,0.347369901,1381.388059625,4.478167090,1
1118,12.979954649,40.777730168,-0.998017772,0.062932714,1385.163012712,0.520668367,8
1129,13.107664399,41.178942182,-0.943340910,-0.331825145,1390.777402713,2.413986999,11
1131,13.130884354,41.251889821,-0.916647697,-0.399696133,1395.525072700,2.838417314,2
1134,13.165714286,41.361311279,-0.867517522,-0.497406624,1400.236323527,1.235178487,3
1137,13.200544218,41.470732738,-0.808010870,-0.589167577,1405.235329976,1.530546529,3
1141,13.246984127,41.616628016,-0.713774528,-0.700375558,1412.055872001,2.467364086,4
1143,13.270204082,41.689575654,-0.660830802,-0.750534910,1415.143749302,0.849025598,2
1149,13.339863946,41.908418571,-0.482128188,-0.876100685,1421.810508056,3.437609138,6
1150,13.351473923,41.944892391,-0.449859873,-0.893099152,1426.299840421,4.489332365,1
1157,13.432743764,42.200209127,-0.209723045,-0.977760832,1430.091329859,0.420520839,7
1171,13.595283447,42.710842600,0.294891317,-0.955530801,1435.201052011,1.592682424,14
1179,13.688163265,43.002633155,0.557301567,-0.830310161,1440.460008379,0.549710961,8
1189,13.804263039,43.367371350,0.816816255,-0.576897916,1445.341674904,1.385900450,10
1198,13.908752834,43.695635725,0.959193206,-0.282751468,1450.015638604,0.433328815,9
1211,14.059682540,44.169795378,0.982473643,0.186401556,1455.532351385,0.564052959,13
1224,14.210612245,44.643955032,0.788974671,0.614425722,1460.077654163,0.237354383,13
1230,14.280272109,44.862797948,0.636765080,0.771057866,1465.106534455,1.788007369,6
1236,14.349931973,45.081640865,0.454180910,0.890909480,1470.560860896,0.561229020,6
1249,14.500861678,45.555800518,-0.002707038,0.999996336,1475.835037772,1.033612091,13
1258,14.605351474,45.884064894,-0.324961877,0.945727116,1480.469097663,0.636485005,9
1270,14.744671202,46.321750727,-0.695170637,0.718844758,1485.449545034,0.667961079,12
1282,14.883990930,46.759436561,-0.934318786,0.356438502,1490.289316525,0.541373526,12
1290,14.976870748,47.051227117,-0.997361228,0.072598763,1497.487919773,2.534297719,8
1292,15.000090703,47.124174756,-0.999999959,-0.000284952,1500.249378074,0.818931987,2
1307,15.174240363,47.671282048,-0.853884663,-0.520462278,1505.089667557,0.273192784,15
1317,15.290340136,48.036020242,-0.612062369,-0.790809495,1510.386980411,0.639796404,10
1331,15.452879819,48.546653715,-0.147492354,-0.989063196,1515.027341477,0.107455268,14
1346,15.627029478,49.093761007,0.388566080,-0.921420860,1520.043363039,0.259916436,15
1350,15.673469388,49.239656285,0.518392568,-0.855142763,1525.036203329,2.535547284,4
1354,15.719909297,49.385551563,0.637204405,-0.770694847,1530.067954886,0.327452360,4
1374,15.952108844,50.115027952,0.988703055,-0.149887519,1535.160607705,0.197922852,20
1389,16.126258503,50.662135244,0.922359298,0.386333179,1540.725593421,1.136905924,15
1406,16.323628118,51.282190175,0.526168490,0.850380339,1545.001687614,0.359567960,17
1410,16.370068027,51.428085453,0.396951745,0.917839481,1550.692185812,2.798064620,4
1419,16.474557823,51.756349828,0.079843877,0.996807381,1555.054312032,0.092461867,9
1430,16.602267574,52.157561842,-0.315784226,0.948831030,1560.372485102,0.415269570,11
1448,16.811247166,52.814090593,-0.829276511,0.558838499,1565.548661302,0.944562281,18
1467,17.031836735,53.507093163,-0.995002363,-0.099851378,1570.307928736,0.750350790,19
1471,17.078276644,53.652988441,-0.969915386,-0.243442279,1575.497781463,0.963758173,4
1488,17.275646259,54.273043372,-0.647902873,-0.761722959,1580.414638073,0.784493541,17
1498,17.391746032,54.637781566,-0.333571817,-0.942724691,1585.064022233,0.217861938,10
1511,17.542675737,55.111941220,0.133668498,-0.991026101,1590.164917218,0.210727179,13
1528,17.740045351,55.731996151,0.684650959,-0.728871089,1595.460546968,0.737706688,17
1541,17.890975057,56.206155804,0.941913985,-0.335854200,1600.248915503,0.262356587,13
1548,17.972244898,56.461472540,0.996200904,-0.087084776,1605.167845551,1.709252661,7
1551,18.007074830,56.570893998,0.999753007,0.022224404,1611.183283630,1.358997498,3
1567,18.192834467,57.154475110,0.822042642,0.569425934,1615.112023123,0.628098641,16
1586,18.413424036,57.847477680,0.268645355,0.963239157,1620.475897056,0.654592646,19
1593,18.494693878,58.102794416,0.016668903,0.999861064,1625.119427252,0.396170473,7
1608,18.668843537,58.649901708,-0.505910872,0.862585758,1630.976092100,1.960125027,15
1611,18.703673469,58.759323167,-0.597082400,0.802179910,1635.269150549,0.825391185,3
1627,18.889433107,59.342904278,-0.940276002,0.340413042,1640.197347584,1.463588063,16
1647,19.121632653,60.072380667,-0.927876105,-0.372888635,1645.616537044,0.853587295,20
1664,19.319002268,60.692435598,-0.538470678,-0.842644248,1650.241750471,0.325704895,17
1669,19.377052154,60.874804696,-0.376719239,-0.926327488,1657.045826199,2.333031707,5
1677,19.469931973,61.166595252,-0.094321076,-0.995541830,1660.063019172,0.096584468,8
1693,19.655691610,61.750176363,0.469848916,-0.882746847,1665.016415765,0.445432206,16
